"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 18, 2020","76.1062","75.5636","76.1177","75.5107","-","0.96%"
"Feb 14, 2020","75.3841","75.2125","75.6786","75.0983","-","0.09%"
"Feb 13, 2020","75.3197","75.2224","75.5207","74.9249","-","0.22%"
"Feb 12, 2020","75.1566","74.6714","75.2138","74.4947","-","1.04%"
"Feb 11, 2020","74.3843","74.4933","74.6530","74.3023","-","0.25%"
"Feb 10, 2020","74.1987","74.7245","74.7417","74.1574","-","-0.74%"
"Feb 07, 2020","74.7550","75.1262","75.1709","74.5886","-","-0.28%"
"Feb 06, 2020","74.9629","75.2085","75.4057","74.6049","-","0.30%"
"Feb 05, 2020","74.7409","74.5520","74.9792","74.2263","-","0.86%"
"Feb 04, 2020","74.1003","74.4323","74.9026","74.0829","-","0.03%"
"Feb 03, 2020","74.0774","74.8416","74.8994","73.9168","-","-1.02%"
"Jan 31, 2020","74.8374","75.4414","75.4637","74.7505","-","-0.40%"
"Jan 30, 2020","75.1402","75.7555","75.7596","74.9746","-","-0.95%"
"Jan 29, 2020","75.8597","76.6286","76.7421","75.7878","-","-0.60%"
"Jan 28, 2020","76.3192","76.2052","76.5248","75.8918","-","0.11%"
"Jan 27, 2020","76.2333","76.8825","76.9382","76.0670","-","-1.40%"
"Jan 24, 2020","77.3191","78.2090","78.2819","77.2194","-","-1.16%"
"Jan 23, 2020","78.2283","78.4811","78.4911","78.0481","-","-0.57%"
"Jan 22, 2020","78.6737","79.1407","79.3833","78.6167","-","-0.67%"
"Jan 21, 2020","79.2079","79.4572","79.5214","79.1180","-","-0.76%"
"Jan 17, 2020","79.8170","79.6521","79.8327","79.4697","-","0.26%"
"Jan 16, 2020","79.6115","80.0878","80.2318","79.6000","-","-0.52%"
"Jan 15, 2020","80.0304","80.3205","80.3957","79.9275","-","-0.40%"
"Jan 14, 2020","80.3484","80.1930","80.5646","79.9752","-","0.07%"
"Jan 13, 2020","80.2913","80.6532","80.7545","80.1806","-","-0.51%"
"Jan 10, 2020","80.7052","80.3992","80.7863","80.3624","-","0.31%"
"Jan 09, 2020","80.4546","80.7962","80.8203","80.2224","-","-0.16%"
"Jan 08, 2020","80.5801","81.7505","81.9529","80.4070","-","-1.22%"
"Jan 07, 2020","81.5737","81.3077","81.6185","81.2277","-","-0.08%"
"Jan 06, 2020","81.6430","82.0636","82.2009","81.4537","-","0.34%"
"Jan 03, 2020","81.3663","81.5686","81.7485","81.1879","-","0.45%"
"Jan 02, 2020","81.0008","81.0158","81.1397","80.7883","-","0.14%"
"Dec 31, 2019","80.8871","81.3532","81.4331","80.8112","-","-0.62%"
"Dec 30, 2019","81.3920","81.4358","81.6796","81.1014","-","0.05%"
"Dec 27, 2019","81.3512","81.2863","81.3651","81.1312","-","0.10%"
"Dec 26, 2019","81.2675","80.9070","81.3072","80.8761","-","0.75%"
"Dec 24, 2019","80.6645","80.3058","80.7213","80.2698","-","0.55%"
"Dec 23, 2019","80.2219","80.2322","80.3760","80.1023","-","-0.21%"
"Dec 20, 2019","80.3939","80.3602","80.5720","80.2733","-","0.06%"
"Dec 19, 2019","80.3466","80.1521","80.4307","80.0234","-","0.26%"
"Dec 18, 2019","80.1387","80.1352","80.2818","79.8968","-","-0.19%"
"Dec 17, 2019","80.2930","80.2097","80.3728","80.1092","-","0.13%"
"Dec 16, 2019","80.1912","79.5229","80.3047","79.5050","-","0.98%"
"Dec 13, 2019","79.4136","79.4493","80.0334","79.1583","-","0.43%"
"Dec 12, 2019","79.0736","78.5209","79.2079","78.4905","-","0.95%"
"Dec 11, 2019","78.3297","78.3674","78.5905","78.1541","-","-0.24%"
"Dec 10, 2019","78.5158","78.1436","78.5901","77.9776","-","0.48%"
"Dec 09, 2019","78.1409","78.0659","78.2712","77.8025","-","-0.13%"
"Dec 06, 2019","78.2393","78.0542","78.5095","77.9822","-","0.17%"
"Dec 05, 2019","78.1100","77.8796","78.3465","77.8265","-","0.34%"
"Dec 04, 2019","77.8463","77.4493","78.0172","77.3086","-","0.65%"
"Dec 03, 2019","77.3437","77.2628","77.6161","77.1278","-","0.27%"
"Dec 02, 2019","77.1353","77.5047","77.6202","77.0550","-","0.03%"
"Nov 29, 2019","77.1108","78.1687","78.1838","77.0772","-","-1.57%"
"Nov 27, 2019","78.3376","78.5888","78.8425","78.2501","-","-0.41%"
"Nov 26, 2019","78.6606","78.4851","78.6673","78.3219","-","0.13%"
"Nov 25, 2019","78.5582","78.7598","78.7867","78.2283","-","-0.21%"
"Nov 22, 2019","78.7265","78.5956","78.9642","78.5260","-","0.15%"
"Nov 21, 2019","78.6081","78.2035","78.6401","77.9949","-","0.42%"
"Nov 20, 2019","78.2804","77.8862","78.5061","77.7575","-","0.54%"
"Nov 19, 2019","77.8584","78.2728","78.3453","77.8264","-","-0.59%"
"Nov 18, 2019","78.3215","79.0234","79.0616","78.2436","-","-0.97%"
"Nov 15, 2019","79.0884","78.9578","79.2585","78.5210","-","0.21%"
"Nov 14, 2019","78.9189","79.2089","79.3706","78.8422","-","-0.05%"
"Nov 13, 2019","78.9618","79.0359","79.1020","78.7546","-","-0.09%"
"Nov 12, 2019","79.0303","79.0208","79.2140","78.8766","-","0.00%"
"Nov 11, 2019","79.0293","79.4777","79.5596","78.9983","-","-1.10%"
"Nov 08, 2019","79.9057","79.9606","80.0367","79.2810","-","-0.14%"
"Nov 07, 2019","80.0187","80.1133","80.4445","79.9682","-","-0.17%"
"Nov 06, 2019","80.1525","80.6747","80.8287","80.1205","-","-0.70%"
"Nov 05, 2019","80.7201","80.6111","80.9663","80.5818","-","0.11%"
"Nov 04, 2019","80.6335","80.3794","80.8750","80.3466","-","0.47%"
"Nov 01, 2019","80.2596","79.2898","80.2705","79.1693","-","1.29%"
"Oct 31, 2019","79.2367","79.6824","79.8538","78.8493","-","-0.45%"
"Oct 30, 2019","79.5986","79.5234","79.7686","79.4770","-","-0.00%"
"Oct 29, 2019","79.6003","79.4331","79.8186","79.2721","-","0.15%"
"Oct 28, 2019","79.4811","79.6565","79.7651","79.3702","-","-0.02%"
"Oct 25, 2019","79.4979","79.2534","79.7132","79.2188","-","0.19%"
"Oct 24, 2019","79.3472","78.9725","79.4481","78.9478","-","0.43%"
"Oct 23, 2019","79.0092","78.4061","79.0363","78.1837","-","0.68%"
"Oct 22, 2019","78.4737","78.2102","78.7276","78.1485","-","0.29%"
"Oct 21, 2019","78.2463","78.5763","78.8218","78.1450","-","-0.54%"
"Oct 18, 2019","78.6672","78.5626","78.8081","78.5132","-","0.11%"
"Oct 17, 2019","78.5809","78.1851","78.6066","78.0883","-","0.31%"
"Oct 16, 2019","78.3348","78.4013","78.4820","78.0943","-","-0.09%"
"Oct 15, 2019","78.4063","78.5578","78.7393","78.3094","-","-0.23%"
